Time/s,Azimuth/deg,Zenith/deg
374,-27.07000000,43.26400000
375,-28.66000000,41.86800000
376,-30.33000000,40.41400000
377,-26.86000000,44.68900000
378,-28.35000000,43.29800000
379,-29.90000000,41.85000000
380,-31.53000000,40.34000000
381,-28.17000000,44.77000000
382,-29.63000000,43.33100000
383,-31.14000000,41.83200000
384,-32.74000000,40.26600000
385,-29.49000000,44.85000000
386,-30.90000000,43.36400000
387,-32.38000000,41.81400000
388,-33.94000000,40.19400000
389,-30.80000000,44.92800000
390,-32.18000000,43.39600000
391,-33.62000000,41.79700000
392,-35.14000000,40.12300000
393,-32.12000000,45.00600000
394,-33.46000000,43.42800000
395,-34.86000000,41.78100000
396,-36.33000000,40.05400000
397,-33.44000000,45.08200000
398,-34.73000000,43.46000000
399,-36.10000000,41.76400000
400,-37.53000000,39.98500000
401,-34.75000000,45.15700000
402,-36.01000000,43.49200000
403,-37.33000000,41.74900000
404,-38.73000000,39.91800000
405,-36.07000000,45.23100000
406,-37.29000000,43.52300000
407,-38.57000000,41.73400000
408,-39.92000000,39.85300000
409,-37.39000000,45.30300000
410,-38.57000000,43.55400000
411,-39.81000000,41.71900000
412,-41.11000000,39.78900000
413,-38.72000000,45.37400000
414,-39.85000000,43.58400000
415,-41.04000000,41.70600000
416,-42.30000000,39.72600000
417,-40.04000000,45.44300000
418,-41.13000000,43.61400000
419,-42.28000000,41.69200000
420,-43.49000000,39.66500000
421,-41.36000000,45.51100000
422,-42.41000000,43.64300000
423,-43.51000000,41.67900000
424,-44.68000000,39.60500000
425,-42.69000000,45.57800000
426,-43.69000000,43.67200000
427,-44.75000000,41.66700000
428,-45.86000000,39.54800000
429,-44.01000000,45.64300000
430,-44.97000000,43.70100000
431,-45.98000000,41.65600000
432,-47.05000000,39.49100000
433,-45.34000000,45.70700000
434,-46.26000000,43.72900000
435,-47.22000000,41.64500000
436,-48.23000000,39.43700000
437,-46.66000000,45.76900000
438,-47.54000000,43.75700000
439,-48.45000000,41.63500000
440,-49.41000000,39.38400000
441,-47.99000000,45.83000000
442,-48.82000000,43.78400000
443,-49.69000000,41.62500000
444,-50.60000000,39.33300000
445,-49.32000000,45.88900000
446,-50.10000000,43.81100000
447,-50.92000000,41.61600000
